Gene	chr	start	end	strand	SNP	order	PhytoID	txid	proid	PFAM	Panther	KOG	KEGGec	KEGGorth	GO	ara_hit_id	ara_hit_symbol	ara_hit_defline	rice_hit_id	rice_hit_symbol	rice_hit_defile
GRMZM2G703092	chr2	78443922	78446127	-	2_78501943	1	30972055	GRMZM2G703092_T01	GRMZM2G703092_P01											NA	
GRMZM2G157027	chr2	78496009	78501564	-	2_78501943	2	30969434	GRMZM2G157027_T01	GRMZM2G157027_P01	PF00149	PTHR22953	KOG1378			GO:0016787	AT5G50400.1	ATPAP27,PAP27	purple acid phosphatase 27	LOC_Os09g32840.1	NA	nucleotide pyrophosphatase/phosphodiesterase, putative, expressed
GRMZM2G102699	chr2	79248616	79249461	-	2_79149749	3	30973318	GRMZM2G102699_T03	GRMZM2G102699_P03											NA	
GRMZM2G102699	chr2	79248616	79249461	-	2_79149749	3	30973320	GRMZM2G102699_T01	GRMZM2G102699_P01											NA	
GRMZM2G102699	chr2	79248616	79249461	-	2_79149749	3	30973319	GRMZM2G102699_T02	GRMZM2G102699_P02											NA	
GRMZM2G168447	chr2	79477240	79478033	+	2_79480554	4	30967327	GRMZM2G168447_T01	GRMZM2G168447_P01	PF00188	PTHR10334:SF7,PTHR10334					AT3G19690.1		CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein	LOC_Os04g22210.1	NA	SCP-like extracellular protein, expressed
GRMZM2G064168	chr2	79570447	79575961	-	2_79480554	5	30972789	GRMZM2G064168_T01	GRMZM2G064168_P01	PF00270	PTHR24772:SF93,PTHR24772	KOG3089			GO:0003676,GO:0005524,GO:0008026	AT2G43110.1				NA	
GRMZM5G818556	chr2	79791537	79791668	-	2_79769999	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRMZM5G854886	chr2	79810871	79811002	-	2_79769999	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRMZM2G065839	chr2	79844428	79872277	-	2_79841307	8	30973951	GRMZM2G065839_T01	GRMZM2G065839_P01	PF01545	PTHR13414				GO:0008324,GO:0006812,GO:0055085,GO:0016021	AT1G51610.1		Cation efflux family protein	LOC_Os04g23180.1	NA	cation efflux family protein, putative, expressed
GRMZM2G090122	chr2	80292411	80293422	-	2_80358066	9	30964864	GRMZM2G090122_T01	GRMZM2G090122_P01							AT2G20390.1			LOC_Os04g04030.1	NA	expressed protein
GRMZM2G359779	chr2	80331870	80336311	-	2_80358066	10	30970198	GRMZM2G359779_T01	GRMZM2G359779_P01	PF02861	PTHR11638,PTHR11638:SF63	KOG1051			GO:0019538	AT4G29920.1		Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein	LOC_Os04g23220.1	NA	expressed protein
GRMZM2G509030	chr2	80444366	80444449	+	2_80358066	11	30969903	GRMZM2G509030_T01	GRMZM2G509030_P01											NA	
GRMZM2G042893	chr2	80444662	80447911	-	2_80358066	12	30965573	GRMZM2G042893_T02	GRMZM2G042893_P02	PF00010	PTHR11514:SF7,PTHR11514				GO:0046983	AT5G57150.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os04g23440.1	NA	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G042893	chr2	80444662	80447911	-	2_80358066	12	30965572	GRMZM2G042893_T01	GRMZM2G042893_P01	PF00010	PTHR11514,PTHR11514:SF7				GO:0046983	AT4G29930.2		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os04g23440.1	NA	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G042893	chr2	80444662	80447911	-	2_80358066	12	30965571	GRMZM2G042893_T05	GRMZM2G042893_P05	PF00010	PTHR11514,PTHR11514:SF7				GO:0046983	AT5G57150.2		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	LOC_Os04g23440.1	NA	helix-loop-helix DNA-binding domain containing protein, expressed
